"","Year","State","Crop","Area","Produced"
"1",1998,"ANDHRA PRADESH                ","BAJRA",127300,119100
"2",1999,"ANDHRA PRADESH                ","BAJRA",116603,97442
"3",2000,"ANDHRA PRADESH                ","BAJRA",143704,148488
"4",2001,"ANDHRA PRADESH                ","BAJRA",91535,71031
"5",2002,"ANDHRA PRADESH                ","BAJRA",86000,56300
"6",2003,"ANDHRA PRADESH                ","BAJRA",129000,141200
"7",2004,"ANDHRA PRADESH                ","BAJRA",93569,81283
"8",2005,"ANDHRA PRADESH                ","BAJRA",80991,82152
"9",2006,"ANDHRA PRADESH                ","BAJRA",61076,46974
"10",2007,"ANDHRA PRADESH                ","BAJRA",74000,92000
"11",2008,"ANDHRA PRADESH                ","BAJRA",59118,60189
"12",2009,"ANDHRA PRADESH                ","BAJRA",45349,53355
"13",1998,"BIHAR                         ","BAJRA",6180,3640
"14",1999,"BIHAR                         ","BAJRA",1629,990
"15",2000,"BIHAR                         ","BAJRA",1534,1266
"16",2001,"BIHAR                         ","BAJRA",828,598
"17",2002,"BIHAR                         ","BAJRA",1018,1048
"18",2003,"BIHAR                         ","BAJRA",1568,1638
"19",2004,"BIHAR                         ","BAJRA",1200,1297
"20",2005,"BIHAR                         ","BAJRA",4338,4591
"21",2006,"BIHAR                         ","BAJRA",4106,4417
"22",2007,"BIHAR                         ","BAJRA",3497,3856
"23",2008,"BIHAR                         ","BAJRA",2960,3547
"24",2000,"CHHATTISGARH                  ","BAJRA",78,31
"25",2001,"CHHATTISGARH                  ","BAJRA",80,36
"26",2002,"CHHATTISGARH                  ","BAJRA",66,26
"27",2003,"CHHATTISGARH                  ","BAJRA",47,19
"28",2004,"CHHATTISGARH                  ","BAJRA",49,17
"29",2005,"CHHATTISGARH                  ","BAJRA",81,31
"30",2006,"CHHATTISGARH                  ","BAJRA",71,34
"31",2007,"CHHATTISGARH                  ","BAJRA",67,31
"32",2008,"CHHATTISGARH                  ","BAJRA",121,48
"33",2009,"CHHATTISGARH                  ","BAJRA",57,20
"34",2010,"CHHATTISGARH                  ","BAJRA",76,37
"35",1998,"DELHI                         ","BAJRA",2595,2091
"36",1999,"DELHI                         ","BAJRA",2719,3749
"37",2000,"DELHI                         ","BAJRA",3119,4634
"38",2001,"DELHI                         ","BAJRA",2632,5140
"39",2002,"DELHI                         ","BAJRA",1552,2804
"40",2003,"DELHI                         ","BAJRA",2334,3762
"41",2004,"DELHI                         ","BAJRA",1708,3117
"42",2005,"DELHI                         ","BAJRA",1690,3031
"43",2006,"DELHI                         ","BAJRA",1592,2945
"44",2007,"DELHI                         ","BAJRA",1586,3013
"45",1998,"GUJARAT                       ","BAJRA",995486,1187873
"46",1999,"GUJARAT                       ","BAJRA",926200,850600
"47",2000,"GUJARAT                       ","BAJRA",989200,823100
"48",2001,"GUJARAT                       ","BAJRA",939800,1262300
"49",2002,"GUJARAT                       ","BAJRA",940200,907000
"50",2003,"GUJARAT                       ","BAJRA",1071200,1599800
"51",2004,"GUJARAT                       ","BAJRA",915100,1089000
"52",2005,"GUJARAT                       ","BAJRA",946000,1205800
"53",2006,"GUJARAT                       ","BAJRA",925700,956900
"54",2007,"GUJARAT                       ","BAJRA",921600,1306600
"55",2008,"GUJARAT                       ","BAJRA",703300,961300
"56",2009,"GUJARAT                       ","BAJRA",673000,828800
"57",2010,"GUJARAT                       ","BAJRA",872400,1500900
"58",1998,"HARYANA                       ","BAJRA",612311,618000
"59",1999,"HARYANA                       ","BAJRA",586877,582000
"60",2000,"HARYANA                       ","BAJRA",608321,656000
"61",2001,"HARYANA                       ","BAJRA",585474,832000
"62",2002,"HARYANA                       ","BAJRA",513720,458000
"63",2003,"HARYANA                       ","BAJRA",624014,884300
"64",2004,"HARYANA                       ","BAJRA",564924,746000
"65",2005,"HARYANA                       ","BAJRA",631290,706000
"66",2006,"HARYANA                       ","BAJRA",618622,1021000
